,No,Floor,업종,매장명칭,전화번호,매장위치(Map)
221,222,2F,엔터테인먼트,펀시티(볼링장),031-5173-2001,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498154.do
222,223,2F,라이프스타일,포토스타,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202304280951101021.do
223,224,2F,패션의류,폴햄,031-5173-2061,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498119.do
224,225,2F,패션의류,프로젝트 M,031-5173-2010,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498068.do
225,226,2F,패션잡화,플래티슈랩,031-5173-2045,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498103.do
226,227,2F,패션의류,플랙,031-5173-2426,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201902260952150991.do
227,228,2F,패션의류,플레이블,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202209231732008743.do
228,229,2F,라이프스타일,현대자동차,031-5173-2005,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498063.do
229,230,2F,패션의류,후아유,031-5173-2442,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202007240834345423.do
230,231,3F,패션잡화,ABC마트,031-5173-3032,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508186.do
231,232,3F,키즈,HAS,031-5173-3082,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487886.do
232,233,3F,키즈,MLB키즈,031-5173-3087,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487891.do
233,234,3F,키즈,갭키즈,031-5173-3421,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201803091016557588.do
234,235,3F,패션의류,골스튜디오,031-5173-3444,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009290830465882.do
235,236,3F,레스토랑&카페,공차,031-5173-3012,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508166.do
236,237,3F,레스토랑&카페,광화문미진,031-5173-3056,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508210.do
237,238,3F,레스토랑&카페,교토가츠규,031-5173-3058,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508212.do
238,239,3F,패션의류,나이키,031-5173-3018,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508172.do
239,240,3F,레스토랑&카페,낙원타코,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009091023015802.do
240,241,3F,패션의류,노스페이스,031-5173-3069,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487873.do
241,242,3F,패션의류,뉴발란스,031-5173-3021,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508175.do
242,243,3F,키즈,뉴발란스키즈,031-5173-3086,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202211071550349223.do
243,244,3F,레스토랑&카페,더 봉반,031-5173-3038,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202209231100168723.do
244,245,3F,레스토랑&카페,더브라운,031-5173-3055,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201811051105523050.do
245,246,3F,패션의류,데상트,031-5173-3022,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508176.do
246,247,3F,패션의류,디스커버리,031-5173-3070,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487874.do
247,248,3F,키즈,디트로네,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202108121419236825.do
248,249,3F,키즈,래핑차일드,031-5173-3090,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487894.do
249,250,3F,레스토랑&카페,로마로사,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202209010941188543.do
250,251,3F,패션의류,르꼬끄 스포르티브,031-5173-3020,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508174.do
251,252,3F,패션의류,리복,031-5173-3077,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487881.do
252,253,3F,키즈,리틀킹,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202010151525275961.do
253,254,3F,키즈,마이리틀타이거,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202209281413148863.do
254,255,3F,레스토랑&카페,매직 플로우,031-5173-3457,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202204281516137543.do
255,256,3F,키즈,모이몰른,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202008191655055701.do
256,257,3F,레스토랑&카페,밀본,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009041558105783.do
257,258,3F,레스토랑&카페,밀키,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009281713085881.do
258,259,3F,패션의류,배럴,031-5173-3455,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202201140914397107.do
259,260,3F,홈퍼니싱,버터,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201901161622558500.do
260,261,3F,키즈,베네베네,031-5173-3007,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508161.do
261,262,3F,키즈,베몽,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202008271025055758.do
262,263,3F,레스토랑&카페,부민옥,031-5173-1060,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202210051056078964.do
263,264,3F,레스토랑&카페,분식사우,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202208251610498467.do
264,265,3F,키즈,블루독,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202210210910049064.do
265,266,3F,레스토랑&카페,비와별 닭갈비,031-5173-3447,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202102251515436369.do
266,267,3F,패션의류,빌라봉,031-5173-3076,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487880.do
267,268,3F,레스토랑&카페,삼백집,031-5173-3046,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508200.do
268,269,3F,키즈,상상스케치,031-5173-3004,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508158.do
269,270,3F,레스토랑&카페,설어정,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202106021735536602.do
270,271,3F,키즈,슈슈앤크라,031-5173-3432,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201908291426555607.do
271,272,3F,패션의류,스노우피크,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202109161101146880.do
272,273,3F,레스토랑&카페,스무디킹,031-5173-3081,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487885.do
273,274,3F,레스토랑&카페,스시마고,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212231742109965.do
274,275,3F,레스토랑&카페,스타벅스 티바나,031-5173-3028,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508182.do
275,276,3F,키즈,스타필드 키즈,1833-9001,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202002171736594923.do
276,277,3F,레스토랑&카페,스폰티니,031-5173-3448,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202104051125546463.do
277,278,3F,키즈,슬코,031-5173-3428,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201811081614316760.do
278,279,3F,키즈,아가방갤러리,031-5173-3092,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487896.do
279,280,3F,키즈,아디다스 키즈,031-5173-3085,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487889.do
280,281,3F,패션의류,아디다스 퍼포먼스,031-5173-3023,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508177.do
281,282,3F,키즈,아람북스,031-5173-3433,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201908291404180117.do
282,283,3F,패션의류,아레나,031-5173-3434,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201909231057495590.do
283,284,3F,키즈,아이러브제이,031-5173-3009,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508163.do
284,285,3F,라이프스타일,아트박스,031-5173-3031,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508185.do
285,286,3F,키즈,알로봇,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202210210909379063.do
286,287,3F,레스토랑&카페,앤티앤스,031-5173-3033,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508187.do
287,288,3F,라이프스타일,야마하,031-5173-3064,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508218.do
288,289,3F,패션의류,언더아머,031-5173-3079,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487883.do
289,290,3F,패션의류,엄브로,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201912130935511585.do
290,291,3F,키즈,에뜨와,031-5173-3104,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487908.do
291,292,3F,레스토랑&카페,에베레스트,031-5173-3037,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508191.do
292,293,3F,패션의류,엑스퍼트,031-5173-3035,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508189.do
293,294,3F,라이프스타일,영풍문고,031-5173-3065,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508219.do
294,295,3F,키즈,오가닉맘,031-5173-3101,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487905.do
295,296,3F,레스토랑&카페,오장동 흥남집,031-5173-3040,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508194.do
296,297,3F,홈퍼니싱,요기보,031-5173-3083,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487887.do
297,298,3F,레스토랑&카페,용호낙지한상,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202209201448578703.do
298,299,3F,패션의류,월터워커 시다스,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202207291235408303.do
299,300,3F,레스토랑&카페,위니비니,031-5173-3093,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487897.do
300,301,3F,레스토랑&카페,의정부 평양면옥,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202211301539009563.do
301,302,3F,슈퍼마켓,이마트24,070-7707-2760,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508180.do
302,303,3F,레스토랑&카페,제레미20,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009251811575873.do
303,304,3F,패션의류,젝시믹스,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202106091716086624.do
304,305,3F,레스토랑&카페,젠틀소이,02-6925-2879,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212290919590061.do
305,306,3F,라이프스타일,조이파티,031-5173-3013,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508167.do
306,307,3F,레스토랑&카페,중화개화,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202107281119436790.do
307,308,3F,레스토랑&카페,카츠바,031-5173-3041,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508195.do
308,309,3F,키즈,캉골키즈,031-5173-3424,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201807301554367513.do
309,310,3F,키즈,캐리마켓,031-5173-3006,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508160.do
310,311,3F,패션잡화,캡텐,031-5173-3017,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508171.do
311,312,3F,패션의류,컬럼비아,031-5173-3068,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487872.do
312,313,3F,홈퍼니싱,컴프프로,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202103041741186390.do
313,314,3F,라이프스타일,케이스갤러리,031-5173-3015,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508169.do
314,315,3F,패션의류,코닥,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009101739445811.do
315,316,3F,패션의류,코오롱스포츠,031-5173-3080,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487884.do
316,317,3F,레스토랑&카페,콘타이,031-5173-3429,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201812041519404186.do
317,318,3F,레스토랑&카페,콴안다오 익스프레스,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202211281104429484.do
318,319,3F,레스토랑&카페,쿠크봉,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201905210843388751.do
319,320,3F,서비스,클래스콕,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202210121612109004.do
320,321,3F,레스토랑&카페,탄탄면공방,031-5173-3045,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508199.do
321,322,3F,키즈,탑텐키즈,031-5173-3091,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487895.do
322,323,3F,키즈,토박스,031-5173-3010,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508164.do
323,324,3F,키즈,토이킹덤,031-5173-3001,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498155.do
324,325,3F,레스토랑&카페,편대장 영화식당,031-5173-3044,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508198.do
325,326,3F,홈퍼니싱,포터리반 키즈,031-5173-3445,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202011261704316126.do
326,327,3F,라이프스타일,포토플러스,031-5173-3034,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919508188.do
327,328,3F,레스토랑&카페,폴트버거,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202211281107159485.do
328,329,3F,키즈,플레이키즈프로,031-5173-3107,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202211011114549203.do
329,330,3F,패션의류,피엘라벤,031-5173-3072,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487876.do
330,331,3F,레스토랑&카페,홍리 마라탕,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201902281504443105.do
331,332,3F,패션잡화,화이텐,031-5173-3067,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487871.do
332,333,4F,서비스,가든 준오,031-5173-4425,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212161334589823.do
333,334,4F,엔터테인먼트,데이골프,031-5173-4555,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487917.do
334,335,4F,레스토랑&카페,리플로우,031-5173-4432,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212211644229883.do
335,336,4F,엔터테인먼트,메가박스,1544-0070,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487913.do
336,337,4F,레스토랑&카페,버거킹,070-7438-8238,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487915.do
337,338,4F,라이프스타일,뷰티 빌리지,031-5173-4007,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487919.do
338,339,4F,서비스,쉼스파 앤 부티크,031-5173-4427,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212161355449825.do
339,340,4F,엔터테인먼트,스몹,1668-4832,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487921.do
340,341,4F,서비스,스타365연세이비인후과의원,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202111020948526963.do
341,342,4F,서비스,스튜디오 후네일,031-5173-4426,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212161353129824.do
342,343,4F,엔터테인먼트,아쿠아필드,031-5173-4500,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487918.do
343,344,4F,라이프스타일,책으로 가는 문,031-5173-4449,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201907311130191154.do
344,345,4F,키즈,챔피언1250X,031-5173-4448,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201806281454077720.do
345,346,4F,레스토랑&카페,폴바셋,031-5173-4002,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487914.do
346,347,4F,서비스,힐미 필라테스,031-5173-4430,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212161358459826.do
